field_key,label,data_type,scope,target_table,target_column,db_write_type,selector_json,evidence_types,extract_policy,description
sales_comp_units,Units,integer,sales_comp,tbl_sales_comparables,units,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Number of units
sales_comp_year_built,Year Built,integer,sales_comp,tbl_sales_comparables,year_built,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Construction year
sales_comp_price_per_unit,Price Per Unit,currency,sales_comp,tbl_sales_comparables,price_per_unit,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Price divided by units
sales_comp_price_per_sf,Price Per SF,currency,sales_comp,tbl_sales_comparables,price_per_sf,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Price divided by building SF
sales_comp_cap_rate,Cap Rate,percentage,sales_comp,tbl_sales_comparables,cap_rate,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Transaction cap rate
sales_comp_grm,GRM,number,sales_comp,tbl_sales_comparables,grm,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Gross rent multiplier
sales_comp_building_sf,Building SF,integer,sales_comp,tbl_sales_comparables,building_sf,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Total building square footage
sales_comp_distance,Distance (miles),number,sales_comp,tbl_sales_comparables,distance_from_subject,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Distance from subject property
sales_comp_notes,Notes,text,sales_comp,tbl_sales_comparables,notes,insert,"{""array_scope"": ""sales_comp""}",offering_memorandum|appraisal,validate,Additional comp notes
# ============================================================
# SECTION 11: RENT COMPARABLES (15 fields per comp - array extraction)
# ============================================================
rent_comp_name,Property Name,text,rent_comp,tbl_rent_comparable,property_name,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Comparable property name
rent_comp_address,Address,text,rent_comp,tbl_rent_comparable,address,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Comparable property address
rent_comp_year_built,Year Built,integer,rent_comp,tbl_rent_comparable,year_built,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Construction year
rent_comp_total_units,Total Units,integer,rent_comp,tbl_rent_comparable,total_units,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Number of units
rent_comp_unit_type,Unit Type,text,rent_comp,tbl_rent_comparable,unit_type,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Unit type being compared
rent_comp_bedrooms,Bedrooms,integer,rent_comp,tbl_rent_comparable,bedrooms,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Number of bedrooms
rent_comp_bathrooms,Bathrooms,number,rent_comp,tbl_rent_comparable,bathrooms,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Number of bathrooms
rent_comp_avg_sqft,Average SF,integer,rent_comp,tbl_rent_comparable,avg_sqft,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Average unit square footage
rent_comp_asking_rent,Asking Rent,currency,rent_comp,tbl_rent_comparable,asking_rent,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Current asking rent
rent_comp_effective_rent,Effective Rent,currency,rent_comp,tbl_rent_comparable,effective_rent,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Net effective rent after concessions
rent_comp_concessions,Concessions,text,rent_comp,tbl_rent_comparable,concessions,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Current concession offerings
rent_comp_amenities,Amenities,text,rent_comp,tbl_rent_comparable,amenities,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Notable amenities
rent_comp_distance,Distance (miles),number,rent_comp,tbl_rent_comparable,distance_miles,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Distance from subject property
rent_comp_as_of_date,As Of Date,date,rent_comp,tbl_rent_comparable,as_of_date,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Date rent data was collected
rent_comp_notes,Notes,text,rent_comp,tbl_rent_comparable,notes,insert,"{""array_scope"": ""rent_comp""}",offering_memorandum|comp_report,validate,Additional notes
# ============================================================
# SECTION 12: ACQUISITION / DEAL TERMS (15 fields)
# ============================================================
acquisition_date,Acquisition Date,date,project,tbl_project,acquisition_date,update,,offering_memorandum,validate,Target or actual acquisition date
earnest_money,Earnest Money,currency,acquisition,tbl_property_acquisition,earnest_money,update,,offering_memorandum,validate,Earnest money deposit amount
due_diligence_days,Due Diligence Period,integer,acquisition,tbl_property_acquisition,due_diligence_days,update,,offering_memorandum,validate,Due diligence period in days
closing_costs_pct,Closing Costs %,percentage,acquisition,tbl_property_acquisition,closing_costs_pct,update,,offering_memorandum,validate,Closing costs as percentage of price
broker_commission_pct,Broker Commission %,percentage,acquisition,tbl_property_acquisition,broker_commission_pct,update,,offering_memorandum,validate,Broker commission percentage
legal_fees,Legal Fees,currency,acquisition,tbl_property_acquisition,legal_fees,update,,offering_memorandum,validate,Legal costs for transaction
third_party_reports,Third Party Reports,currency,acquisition,tbl_property_acquisition,third_party_reports,update,,offering_memorandum,validate,Appraisal/PCA/Phase I costs
financing_fees,Financing Fees,currency,acquisition,tbl_property_acquisition,financing_fees,update,,offering_memorandum,validate,Loan origination and related fees
land_pct,Land Allocation %,percentage,acquisition,tbl_property_acquisition,land_pct,update,,appraisal,validate,Land value as percentage of total
improvement_pct,Improvement Allocation %,percentage,acquisition,tbl_property_acquisition,improvement_pct,update,,appraisal,validate,Improvement value as percentage
depreciation_basis,Depreciation Basis,currency,acquisition,tbl_property_acquisition,depreciation_basis,update,,appraisal,validate,Depreciable basis for tax purposes
is_1031_exchange,Is 1031 Exchange,boolean,acquisition,tbl_property_acquisition,is_1031_exchange,update,,offering_memorandum,validate,Transaction is 1031 exchange
exit_cap_rate_acq,Exit Cap Rate Assumption,percentage,acquisition,tbl_property_acquisition,exit_cap_rate,update,,proforma,validate,Exit cap rate from acquisition model
sale_costs_pct,Disposition Costs %,percentage,acquisition,tbl_property_acquisition,sale_costs_pct,update,,proforma,validate,Costs to sell as percentage of price
acq_hold_period,Hold Period,number,acquisition,tbl_property_acquisition,hold_period_years,update,,proforma,validate,Projected hold period in years
# ============================================================
# SECTION 13: MARKET DATA (15 fields)
# ============================================================
walk_score,Walk Score,integer,project,tbl_project,walk_score,update,,offering_memorandum,validate,Walk Score rating (0-100)
bike_score,Bike Score,integer,project,tbl_project,bike_score,update,,offering_memorandum,validate,Bike Score rating (0-100)
transit_score,Transit Score,integer,project,tbl_project,transit_score,update,,offering_memorandum,validate,Transit Score rating (0-100)
population_1mi,Population (1 mi),integer,market,tbl_market_rate_analysis,population_1mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Population within 1 mile radius
population_3mi,Population (3 mi),integer,market,tbl_market_rate_analysis,population_3mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Population within 3 mile radius
population_5mi,Population (5 mi),integer,market,tbl_market_rate_analysis,population_5mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Population within 5 mile radius
median_hh_income_1mi,Median HH Income (1 mi),currency,market,tbl_market_rate_analysis,median_hh_income_1mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Median household income 1 mi radius
median_hh_income_3mi,Median HH Income (3 mi),currency,market,tbl_market_rate_analysis,median_hh_income_3mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Median household income 3 mi radius
avg_hh_income_5mi,Avg HH Income (5 mi),currency,market,tbl_market_rate_analysis,avg_hh_income_5mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Average household income 5 mi radius
employment_5mi,Employment (5 mi),integer,market,tbl_market_rate_analysis,employment_5mi,upsert,"{""match_on"": ""project_id""}",offering_memorandum,validate,Employment within 5 mile radius
submarket_vacancy,Submarket Vacancy %,percentage,market,tbl_market_rate_analysis,submarket_vacancy,upsert,"{""match_on"": ""project_id""}",offering_memorandum|comp_report,validate,Current submarket vacancy rate
submarket_rent_growth,Submarket Rent Growth,percentage,market,tbl_market_rate_analysis,submarket_rent_growth,upsert,"{""match_on"": ""project_id""}",offering_memorandum|comp_report,validate,Historical/projected rent growth
submarket_avg_rent,Submarket Avg Rent,currency,market,tbl_market_rate_analysis,submarket_avg_rent,upsert,"{""match_on"": ""project_id""}",offering_memorandum|comp_report,validate,Average submarket rent
submarket_occupancy,Submarket Occupancy %,percentage,market,tbl_market_rate_analysis,submarket_occupancy,upsert,"{""match_on"": ""project_id""}",offering_memorandum|comp_report,validate,Average submarket occupancy
new_supply_pipeline,New Supply (units),integer,market,tbl_market_rate_analysis,new_supply_pipeline,upsert,"{""match_on"": ""project_id""}",offering_memorandum|comp_report,validate,Units under construction in submarket
parking_type,Parking Type,text,mf_property,tbl_multifamily_property,parking_type,update,"",offering_memorandum,validate,Type of parking (surface/garage/covered)
